name,category,link,rating
Among Us,Action,https://play.google.com/store/apps/details?id=com.innersloth.spacemafia,4.1
Call of duty,Action,https://play.google.com/store/apps/details?id=com.activision.callofduty.shooter,4.5
Garena Free Fire - The Cobra,Action,https://play.google.com/store/apps/details?id=com.dts.freefireth,4.3
Sniper 3D,Action,https://play.google.com/store/apps/details?id=com.fungames.sniper3d,4.3
FAU-G,Action,https://play.google.com/store/apps/details?id=com.ncoregames.faug,3.2
SIVA: MMO RPG,Action,https://play.google.com/store/apps/details?id=com.chaplin.wod.google,4.7
Shadow Fight 3,Action,https://play.google.com/store/apps/details?id=com.nekki.shadowfight3,4.3
Dead Target Zombie Offline,Action,https://play.google.com/store/apps/details?id=com.vng.g6.a.zombie,4.4
Prison Escape,Action,https://play.google.com/store/apps/details?id=com.wordmobile.prisonstorm,4.1
World War Heroes: WW2 FPS,Action,https://play.google.com/store/apps/details?id=com.gamedevltd.wwh,4.5
Cover Fire,Action,https://play.google.com/store/apps/details?id=com.generagames.resistance,4.5
Yalghaar: Delta IGI Commando,Action,https://play.google.com/store/apps/details?id=com.rockville.terrorist.shooter.fps,4.2
Dead Trigger,Action,https://play.google.com/store/apps/details?id=com.madfingergames.deadtrigger,4.5
Modern Combat 5,Action,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftM5HM,4.2
Roblox,Adventure,https://play.google.com/store/apps/details?id=com.roblox.client,4.5
Pokemon GO,Adventure,https://play.google.com/store/apps/details?id=com.nianticlabs.pokemongo,4.1
Grand Hotel Mania,Adventure,https://play.google.com/store/apps/details?id=com.deuscraft.TurboTeam&hl=en_IN&gl=US,4.3
The Witch's Isle,Adventure,https://play.google.com/store/apps/details?id=com.Beltheva.Noma,4.1
Chroniric,Adventure,https://play.google.com/store/apps/details?id=com.wearechroniric.ChroniricTimeReapers,4.2
Tsuki Adventure,Adventure,https://play.google.com/store/apps/details?id=com.hyperbeard.tsuki,4.5
Lucid Dream Adventure,Adventure,https://play.google.com/store/apps/details?id=games.dali.adventure.point.click.lucid.dream.witch.planet.riddle,4.7
Jurassic World Alive,Adventure,https://play.google.com/store/apps/details?id=com.ludia.jw2&hl=en_IN&gl=US,4.4
City Construction Simulator,Adventure,https://play.google.com/store/apps/details?id=com.impp.construction.simulator.forklift,4
Egg Wars,Adventure,https://play.google.com/store/apps/details?id=com.sandboxol.indiegame.eggwars&hl=en_IN&gl=US,4.2
Temple Run,Arcade,https://play.google.com/store/apps/details?id=com.imangi.templerun,4.1
Subway Surfer,Arcade,https://play.google.com/store/apps/details?id=com.kiloo.subwaysurf,4.4
Stack Ball,Arcade,https://play.google.com/store/apps/details?id=com.rioo.runnersubway,4.1
Join Clash 3D,Arcade,https://play.google.com/store/apps/details?id=com.freeplay.runandfight,4.1
Subway Princess Runner,Arcade,https://play.google.com/store/apps/details?id=io.voodoo.crowdcity,4.2
Crowd City,Arcade,https://play.google.com/store/apps/details?id=io.voodoo.crowdcity&hl=en_IN&gl=US,4.2
Fat Pusher,Arcade,https://play.google.com/store/apps/details?id=com.mglstudio.boyvsblocks&hl=en_IN&gl=US,3.8
Bottle Shooting Game,Arcade,https://play.google.com/store/apps/details?id=com.knockdown.bottleshootgame&hl=en_IN&gl=US,4.7
Coin Rush,Arcade,https://play.google.com/store/apps/details?id=com.crazylabs.coin.rush&hl=en_IN&gl=US,4.1
Color Adventure: Draw the Path,Arcade,https://play.google.com/store/apps/details?id=line.color.adventure&hl=en_IN&gl=US,4.2
Spiral Roll,Arcade,https://play.google.com/store/apps/details?id=com.Celltop.SpiralRoll&hl=en_IN&gl=US,4
Escape Masters,Arcade,https://play.google.com/store/apps/details?id=com.ihari.escapetheprison&hl=en_IN&gl=US,4.2
Stupid Zombies,Arcade,https://play.google.com/store/apps/details?id=com.gameresort.stupidzombies&hl=en_IN&gl=US,4.2
